Symbol,TrdSymbol,SymbolName,OptionType,InstType,StrikePrice,ExpiryDate,LotSize,SpotSymbol
51971,ADANIPORTS22OCTFUT,ADANIPORTS,XX,FUTSTK,-1,27-10-2022 15:30:00,1250,15083
51990,ASIANPAINT22OCTFUT,ASIANPAINT,XX,FUTSTK,-1,27-10-2022 15:30:00,200,236
52000,AXISBANK22OCTFUT,AXISBANK,XX,FUTSTK,-1,27-10-2022 15:30:00,1200,5900
52006,BAJAJ-AUTO22OCTFUT,BAJAJ-AUTO,XX,FUTSTK,-1,27-10-2022 15:30:00,250,16669
52008,BAJFINANCE22OCTFUT,BAJFINANCE,XX,FUTSTK,-1,27-10-2022 15:30:00,125,317
52007,BAJAJFINSV22OCTFUT,BAJAJFINSV,XX,FUTSTK,-1,27-10-2022 15:30:00,500,16675
52062,BPCL22OCTFUT,BPCL,XX,FUTSTK,-1,27-10-2022 15:30:00,1800,526
52017,BHARTIARTL22OCTFUT,BHARTIARTL,XX,FUTSTK,-1,27-10-2022 15:30:00,950,10604
52064,BRITANNIA22OCTFUT,BRITANNIA,XX,FUTSTK,-1,27-10-2022 15:30:00,200,547
52073,CIPLA22OCTFUT,CIPLA,XX,FUTSTK,-1,27-10-2022 15:30:00,650,694
52074,COALINDIA22OCTFUT,COALINDIA,XX,FUTSTK,-1,27-10-2022 15:30:00,4200,20374
52100,DIVISLAB22OCTFUT,DIVISLAB,XX,FUTSTK,-1,27-10-2022 15:30:00,150,10940
52114,DRREDDY22OCTFUT,DRREDDY,XX,FUTSTK,-1,27-10-2022 15:30:00,125,881
52115,EICHERMOT22OCTFUT,EICHERMOT,XX,FUTSTK,-1,27-10-2022 15:30:00,350,910
52155,GRASIM22OCTFUT,GRASIM,XX,FUTSTK,-1,27-10-2022 15:30:00,475,1232
52172,HCLTECH22OCTFUT,HCLTECH,XX,FUTSTK,-1,27-10-2022 15:30:00,700,7229
52175,HDFCBANK22OCTFUT,HDFCBANK,XX,FUTSTK,-1,27-10-2022 15:30:00,550,1333
52193,HDFCLIFE22OCTFUT,HDFCLIFE,XX,FUTSTK,-1,27-10-2022 15:30:00,1100,467
52196,HEROMOTOCO22OCTFUT,HEROMOTOCO,XX,FUTSTK,-1,27-10-2022 15:30:00,300,1348
52210,HINDALCO22OCTFUT,HINDALCO,XX,FUTSTK,-1,27-10-2022 15:30:00,1075,1363
52225,HINDUNILVR22OCTFUT,HINDUNILVR,XX,FUTSTK,-1,27-10-2022 15:30:00,300,1394
52173,HDFC22OCTFUT,HDFC,XX,FUTSTK,-1,27-10-2022 15:30:00,300,1330
52251,ICICIBANK22OCTFUT,ICICIBANK,XX,FUTSTK,-1,27-10-2022 15:30:00,1375,4963
52319,ITC22OCTFUT,ITC,XX,FUTSTK,-1,27-10-2022 15:30:00,3200,1660
52316,IOC22OCTFUT,IOC,XX,FUTSTK,-1,27-10-2022 15:30:00,9750,1624
52281,INDUSINDBK22OCTFUT,INDUSINDBK,XX,FUTSTK,-1,27-10-2022 15:30:00,900,5258
52309,INFY22OCTFUT,INFY,XX,FUTSTK,-1,27-10-2022 15:30:00,300,1594
52322,JSWSTEEL22OCTFUT,JSWSTEEL,XX,FUTSTK,-1,27-10-2022 15:30:00,1350,11723
52340,KOTAKBANK22OCTFUT,KOTAKBANK,XX,FUTSTK,-1,27-10-2022 15:30:00,400,1922
52357,LT22OCTFUT,LT,XX,FUTSTK,-1,27-10-2022 15:30:00,300,11483
52361,M&M22OCTFUT,M&M,XX,FUTSTK,-1,27-10-2022 15:30:00,700,2031
52379,MARUTI22OCTFUT,MARUTI,XX,FUTSTK,-1,27-10-2022 15:30:00,100,10999
52564,NTPC22OCTFUT,NTPC,XX,FUTSTK,-1,27-10-2022 15:30:00,5700,11630
52431,NESTLEIND22OCTFUT,NESTLEIND,XX,FUTSTK,-1,27-10-2022 15:30:00,40,17963
52577,ONGC22OCTFUT,ONGC,XX,FUTSTK,-1,27-10-2022 15:30:00,3850,2475
52726,POWERGRID22OCTFUT,POWERGRID,XX,FUTSTK,-1,27-10-2022 15:30:00,2700,14977
52772,RELIANCE22OCTFUT,RELIANCE,XX,FUTSTK,-1,27-10-2022 15:30:00,250,2885
52801,SBILIFE22OCTFUT,SBILIFE,XX,FUTSTK,-1,27-10-2022 15:30:00,750,21808
52803,SHREECEM22OCTFUT,SHREECEM,XX,FUTSTK,-1,27-10-2022 15:30:00,25,3103
52802,SBIN22OCTFUT,SBIN,XX,FUTSTK,-1,27-10-2022 15:30:00,1500,3045
52864,SUNPHARMA22OCTFUT,SUNPHARMA,XX,FUTSTK,-1,27-10-2022 15:30:00,700,3351
52896,TCS22OCTFUT,TCS,XX,FUTSTK,-1,27-10-2022 15:30:00,150,11536
52890,TATACONSUM22OCTFUT,TATACONSUM,XX,FUTSTK,-1,27-10-2022 15:30:00,900,3432
52893,TATAMOTORS22OCTFUT,TATAMOTORS,XX,FUTSTK,-1,27-10-2022 15:30:00,1425,3456
52895,TATASTEEL22OCTFUT,TATASTEEL,XX,FUTSTK,-1,27-10-2022 15:30:00,4250,3499
52897,TECHM22OCTFUT,TECHM,XX,FUTSTK,-1,27-10-2022 15:30:00,600,13538
52898,TITAN22OCTFUT,TITAN,XX,FUTSTK,-1,27-10-2022 15:30:00,375,3506
52906,UPL22OCTFUT,UPL,XX,FUTSTK,-1,27-10-2022 15:30:00,1300,11287
52904,ULTRACEMCO22OCTFUT,ULTRACEMCO,XX,FUTSTK,-1,27-10-2022 15:30:00,100,11532
53280,WIPRO22OCTFUT,WIPRO,XX,FUTSTK,-1,27-10-2022 15:30:00,1000,3787
