Symbol,TrdSymbol,SymbolName,LotSize
6833,1018GS2026-GS,1018GS2026,1
9806,182D011222-TB,182D011222,100
10566,182D020223-TB,182D020223,100
10857,182D020323-TB,182D020323,100
9327,182D031122-TB,182D031122,100
10275,182D050123-TB,182D050123,100
11428,182D060423-TB,182D060423,100
9840,182D081222-TB,182D081222,100
10662,182D090223-TB,182D090223,100
10926,182D090323-TB,182D090323,100
9455,182D101122-TB,182D101122,100
10340,182D120123-TB,182D120123,100
9876,182D151222-TB,182D151222,100
10685,182D160223-TB,182D160223,100
10953,182D160323-TB,182D160323,100
9534,182D171122-TB,182D171122,100
10400,182D190123-TB,182D190123,100
9069,182D201022-TB,182D201022,100
9955,182D221222-TB,182D221222,100
10788,182D230223-TB,182D230223,100
11056,182D230323-TB,182D230323,100
9727,182D241122-TB,182D241122,100
10483,182D260123-TB,182D260123,100
9108,182D271022-TB,182D271022,100
10225,182D291222-TB,182D291222,100
11302,182D300323-TB,182D300323,100
16921,20MICRONS-EQ,20MICRONS,1
16924,20MICRONS-BL,20MICRONS,1
4,21STCENMGM-EQ,21STCENMGM,1
12910,21STCENMGM-BL,21STCENMGM,1
9809,364D010623-TB,364D010623,100
7001,364D011222-TB,364D011222,100
8019,364D020223-TB,364D020223,100
8340,364D020323-TB,364D020323,100
6477,364D021122-TB,364D021122,100
10567,364D030823-TB,364D030823,100
9330,364D040523-TB,364D040523,100
7720,364D050123-TB,364D050123,100
11429,364D051023-TB,364D051023,100
8864,364D060423-TB,364D060423,100
10274,364D060723-TB,364D060723,100
10927,364D070923-TB,364D070923,100
9841,364D080623-TB,364D080623,100
7072,364D081222-TB,364D081222,100
8145,364D090223-TB,364D090223,100
8388,364D090323-TB,364D090323,100
10667,364D100823-TB,364D100823,100
6578,364D101122-TB,364D101122,100
9457,364D110523-TB,364D110523,100
7826,364D120123-TB,364D120123,100
8980,364D120423-TB,364D120423,100
10342,364D130723-TB,364D130723,100
10954,364D140923-TB,364D140923,100
9877,364D150623-TB,364D150623,100
7164,364D151222-TB,364D151222,100
8206,364D160223-TB,364D160223,100
8508,364D160323-TB,364D160323,100
10687,364D170823-TB,364D170823,100
6756,364D171122-TB,364D171122,100
9535,364D180523-TB,364D180523,100
7854,364D190123-TB,364D190123,100
9070,364D200423-TB,364D200423,100
10402,364D200723-TB,364D200723,100
6217,364D201022-TB,364D201022,100
11059,364D210923-TB,364D210923,100
9956,364D220623-TB,364D220623,100
7324,364D221222-TB,364D221222,100
8265,364D230223-TB,364D230223,100
8594,364D230323-TB,364D230323,100
10792,364D240823-TB,364D240823,100
6937,364D241122-TB,364D241122,100
9734,364D250523-TB,364D250523,100
7922,364D260123-TB,364D260123,100
9112,364D270423-TB,364D270423,100
10484,364D270723-TB,364D270723,100
6367,364D271022-TB,364D271022,100
11303,364D280923-TB,364D280923,100
10226,364D290623-TB,364D290623,100
7557,364D291222-TB,364D291222,100
8726,364D300323-TB,364D300323,100
10858,364D310823-TB,364D310823,100
1051,396GS2022-GS,396GS2022,1
6232,3IINFOLTD-EQ,3IINFOLTD,1
6236,3IINFOLTD-BL,3IINFOLTD,1
474,3MINDIA-EQ,3MINDIA,1
12179,3MINDIA-BL,3MINDIA,1
2595,3PLAND-EQ,3PLAND,1
12662,3PLAND-BL,3PLAND,1
5621,3RDROCK-IT,3RDROCK,5200
970,415KL22-SG,415KL22,100
3529,426GS2023-GS,426GS2023,1
21931,439MH23-SG,439MH23,100
947,448GS2023-GS,448GS2023,1
